candidate_id;job_id
CAN001;JOB250001095
CAN001;JOB250002247
CAN001;JOB250002690
CAN002;NONREF000221
CAN002;JOB250002136
CAN002;JOB250002438
CAN003;JOB250002847
CAN003;JOB250002313
CAN003;JOB250001530
CAN004;JOB250002136
CAN004;JOB250002438
CAN004;JOB250002532
CAN005;JOB250001213
CAN005;JOB250002440
CAN005;JOB250002531
CAN006;JOB250002295
CAN006;JOB250002730
CAN006;JOB250000977
CAN007;JOB250002308
CAN007;JOB250001853
CAN007;JOB250002294
CAN008;JOB250002121
CAN008;JOB250001087
CAN008;JOB250002475
CAN009;JOB250001215
CAN009;NONREF000151
CAN009;JOB250000887
CAN010;JOB250001087
CAN010;JOB250002121
CAN010;JOB250002475
CAN011;JOB250001213
CAN011;JOB250002440
CAN011;JOB250002531
CAN012;JOB250002847
CAN012;JOB250002313
CAN012;JOB250001530
CAN013;JOB250002295
CAN013;JOB250002730
CAN013;JOB250000977
CAN014;JOB250001820
CAN014;JOB250001249
CAN014;JOB250002618
CAN015;JOB250001650
CAN015;JOB250001591
CAN015;JOB250002615
CAN016;JOB250001584
CAN016;JOB250002791
CAN016;JOB250000883
CAN017;JOB250001087
CAN017;JOB250002121
CAN017;JOB250002475
CAN018;JOB250001650
CAN018;JOB250001591
CAN018;JOB250002615
CAN019;JOB250002308
CAN019;JOB250001853
CAN019;JOB250002294
CAN020;JOB250001213
CAN020;JOB250002440
CAN020;JOB250002531
CAN021;JOB250002742
CAN021;JOB250002743
CAN021;JOB250002167
CAN022;JOB250002645
CAN022;JOB250001768
CAN022;JOB250001769
CAN023;JOB250002847
CAN023;JOB250002313
CAN023;JOB250001530
CAN024;JOB250002644
CAN024;JOB250001820
CAN024;JOB250001249
CAN025;JOB250002645
CAN025;JOB250001020
CAN025;JOB250001110
CAN026;JOB250001857
CAN026;JOB250002847
CAN026;JOB250002849
CAN027;JOB250002136
CAN027;JOB250002438
CAN027;JOB250002532
CAN028;JOB250002294
CAN028;JOB250001273
CAN028;JOB250002687
CAN029;NONREF000221
CAN029;JOB250002848
CAN029;JOB250002852
CAN030;JOB250001215
CAN030;NONREF000151
CAN030;JOB250000887
CAN031;JOB250002742
CAN031;JOB250002743
CAN031;JOB250001857
CAN032;JOB250002742
CAN032;JOB250002743
CAN032;JOB250002167
CAN033;JOB250002742
CAN033;JOB250002743
CAN033;JOB250002167
CAN034;JOB250001650
CAN034;JOB250002720
CAN034;JOB250001872
CAN035;JOB250002742
CAN035;JOB250002743
CAN035;JOB250002167
CAN036;NONREF000228
CAN036;NONREF000229
CAN036;JOB250001753
CAN037;JOB250001650
CAN037;JOB250002720
CAN037;JOB250001872
CAN038;JOB250002121
CAN038;JOB250001087
CAN038;JOB250002475
CAN039;JOB250002645
CAN039;JOB250001020
CAN039;JOB250001110
CAN040;JOB250001650
CAN040;JOB250001591
CAN040;JOB250002615
CAN041;JOB250001213
CAN041;JOB250002440
CAN041;JOB250002531
CAN042;JOB250000844
CAN042;JOB250001095
CAN042;JOB250002247
CAN043;JOB250001213
CAN043;JOB250002440
CAN043;JOB250002531
CAN044;JOB250000969
CAN044;JOB250001179
CAN044;JOB250001212
CAN045;JOB250002644
CAN045;JOB250002025
CAN045;JOB250002707
CAN046;JOB250002742
CAN046;JOB250002743
CAN046;JOB250001857
CAN047;JOB250002292
CAN047;JOB250002293
CAN047;JOB250002294
CAN048;JOB250002645
CAN048;JOB250001768
CAN048;JOB250001769
CAN049;JOB250002742
CAN049;JOB250002743
CAN049;JOB250002167
CAN050;JOB250002742
CAN050;JOB250002743
CAN050;JOB250002167
CAN051;JOB250001095
CAN051;JOB250002247
CAN051;JOB250002690
CAN052;JOB250001857
CAN052;JOB250002847
CAN052;JOB250002849
CAN053;JOB250001584
CAN053;JOB250002791
CAN053;JOB250000883
CAN054;JOB250002742
CAN054;JOB250002743
CAN054;JOB250002167
CAN055;JOB250002645
CAN055;JOB250001020
CAN055;JOB250001110
CAN056;JOB250001650
CAN056;JOB250002720
CAN056;JOB250001872
CAN057;JOB250001213
CAN057;JOB250002440
CAN057;JOB250002531
CAN058;JOB250001857
CAN058;JOB250002847
CAN058;JOB250002849
CAN059;JOB250000969
CAN059;JOB250001179
CAN059;JOB250001212
CAN060;JOB250001650
CAN060;JOB250001591
CAN060;JOB250002615
CAN061;JOB250002645
CAN061;JOB250001768
CAN061;JOB250001769
CAN062;JOB250002644
CAN062;JOB250001820
CAN062;JOB250001249
CAN063;JOB250002847
CAN063;JOB250002313
CAN063;JOB250001530
CAN064;JOB250001213
CAN064;JOB250002440
CAN064;JOB250002531
CAN065;JOB250002645
CAN065;JOB250001020
CAN065;JOB250001110
CAN066;JOB250002645
CAN066;JOB250001768
CAN066;JOB250001769
CAN067;JOB250001650
CAN067;JOB250002720
CAN067;JOB250001872
CAN068;JOB250001591
CAN068;JOB250002615
CAN068;JOB250001014
CAN069;NONREF000228
CAN069;NONREF000229
CAN069;JOB250001753
CAN070;NONREF000228
CAN070;NONREF000229
CAN070;JOB250001753
CAN071;JOB250002645
CAN071;JOB250001020
CAN071;JOB250001110
CAN072;NONREF000221
CAN072;JOB250002438
CAN072;JOB250002532
CAN073;JOB250002121
CAN073;JOB250001087
CAN073;JOB250002475
CAN074;JOB250000844
CAN074;JOB250001095
CAN074;JOB250002247
CAN075;JOB250001650
CAN075;JOB250002720
CAN075;JOB250001872
CAN076;NONREF000221
CAN076;JOB250002438
CAN076;JOB250002532
CAN077;JOB250002847
CAN077;JOB250002313
CAN077;JOB250001530
CAN078;JOB250001215
CAN078;NONREF000151
CAN078;JOB250000887
CAN079;JOB250001591
CAN079;JOB250002615
CAN079;JOB250001014
CAN080;JOB250002645
CAN080;JOB250001020
CAN080;JOB250001110
CAN081;JOB250002848
CAN081;JOB250002852
CAN081;NONREF000044
CAN082;JOB250001215
CAN082;NONREF000151
CAN082;JOB250000887
CAN083;JOB250002742
CAN083;JOB250002743
CAN083;JOB250001857
CAN084;JOB250002644
CAN084;JOB250002025
CAN084;JOB250002707
CAN085;JOB250001650
CAN085;JOB250001591
CAN085;JOB250002615
CAN086;JOB250002742
CAN086;JOB250002743
CAN086;JOB250001857
CAN087;JOB250001650
CAN087;JOB250002720
CAN087;JOB250001872
CAN088;JOB250001213
CAN088;JOB250002440
CAN088;JOB250002531
CAN089;JOB250001087
CAN089;JOB250002121
CAN089;JOB250002475
CAN090;JOB250002847
CAN090;JOB250002313
CAN090;JOB250001530
CAN091;JOB250001215
CAN091;NONREF000151
CAN091;JOB250000887
CAN092;JOB250002292
CAN092;JOB250002293
CAN092;JOB250002294
CAN093;JOB250002295
CAN093;JOB250002730
CAN093;JOB250000977
CAN094;JOB250002295
CAN094;JOB250002730
CAN094;JOB250000977
CAN095;NONREF000221
CAN095;STG250000939
CAN095;JOB250002692
CAN096;JOB250001087
CAN096;JOB250002121
